Weather_Condition,Road_Type,Road_Condition,Speed_Limit,Time_of_Day,Vehicle_Type,Driver_Age,State,City,Accident_Severity
Snow,Highway,Hill Area,200,Evening,Car,40.0,Uttar Pradesh,Shravasti,Fatal
Snow,Rural Road,Normal,90,Afternoon,Bus,52.0,Uttar Pradesh,Hamirpur,Moderate
Clear,City Street,Hill Area,35,Night,Truck,43.0,Tamil Nadu,Madurai,Severe
Fog,Highway,Wet,150,Afternoon,Truck,44.0,Karnataka,Bengaluru,Fatal
Fog,Rural Road,Hill Area,90,Evening,Car,36.0,Haryana,Kurukshetra,Fatal
Fog,Rural Road,Wet,90,Afternoon,Car,51.0,Maharashtra,Pune,Fatal
Rain,Highway,Hill Area,150,Afternoon,Car,39.0,Karnataka,Hubli,Fatal
Fog,Rural Road,Hill Area,90,Afternoon,Truck,24.0,Maharashtra,Nashik,Fatal
Rain,Highway,Potholes,200,Night,Bus,51.0,Tamil Nadu,Salem,Fatal
,City Street,Hill Area,35,Morning,Motorcycle,43.0,Delhi,North Delhi,Fatal
Clear,Rural Road,Potholes,90,Afternoon,Car,29.0,Maharashtra,Pune,Moderate
Clear,Highway,Wet,65,Night,Car,29.0,Delhi,Central Delhi,Fatal
Snow,Highway,Hill Area,100,Night,Truck,38.0,Tamil Nadu,Chennai,Fatal
Clear,City Street,Normal,30,Afternoon,Motorcycle,40.0,Delhi,Central Delhi,Moderate
Snow,Highway,Hill Area,120,Afternoon,Car,37.0,Tamil Nadu,Salem,Fatal
Snow,Highway,Wet,55,Evening,Car,38.0,Maharashtra,Pune,Severe
Rain,City Street,Wet,60,Morning,Bus,55.0,Karnataka,Hubli,Minor
Snow,Rural Road,Hill Area,70,Afternoon,Car,47.0,Uttar Pradesh,Kushinagar,Severe
Clear,Highway,Hill Area,200,Evening,Truck,37.0,Uttar Pradesh,Agra,Fatal
Fog,Highway,Hill Area,100,Evening,Bus,46.0,Haryana,Sonipat,Fatal
Snow,Highway,Potholes,120,Night,Motorcycle,22.0,Delhi,New Delhi,Fatal
Clear,Rural Road,Wet,35,Night,Motorcycle,39.0,Karnataka,Bengaluru,Fatal
Fog,City Street,Hill Area,35,Afternoon,Truck,56.0,Delhi,South Delhi,Severe
Rain,City Street,Normal,60,Afternoon,Car,32.0,Haryana,Karnal,Minor
Rain,Rural Road,Hill Area,45,Afternoon,Truck,,Karnataka,Bengaluru,Fatal
Rain,City Street,Potholes,35,Evening,Bus,27.0,Maharashtra,Mumbai,Severe
Fog,Highway,Hill Area,65,Night,Truck,21.0,Haryana,Karnal,Fatal
Fog,City Street,Potholes,80,Morning,Car,25.0,Karnataka,Bengaluru,Fatal
Clear,City Street,Wet,35,Afternoon,Motorcycle,30.0,Delhi,North East Delhi,Severe
Rain,City Street,Normal,35,Morning,Motorcycle,18.0,Tamil Nadu,Chennai,Fatal
,Rural Road,Normal,120,Evening,Bus,35.0,Maharashtra,Nagpur,Severe
Snow,Highway,Normal,200,Night,Car,45.0,Uttar Pradesh,Rampur,Fatal
Clear,City Street,Normal,35,Afternoon,Car,,Uttar Pradesh,Jaunpur,Minor
Clear,Rural Road,Potholes,45,Morning,Truck,53.0,Tamil Nadu,Coimbatore,Minor
Clear,Rural Road,Wet,45,Night,Bus,41.0,Haryana,Bhiwani,Moderate
Fog,Rural Road,Potholes,45,Morning,Bus,47.0,Tamil Nadu,Chennai,Severe
Snow,Highway,Potholes,80,Morning,Bus,27.0,Maharashtra,Nashik,Fatal
Rain,City Street,Hill Area,60,Afternoon,Truck,45.0,Delhi,North Delhi,Severe
Snow,City Street,Normal,60,Morning,Bus,21.0,Karnataka,Bengaluru,Severe
Clear,Rural Road,Wet,90,Morning,Car,45.0,Tamil Nadu,Chennai,Severe
Rain,Highway,Normal,65,Afternoon,Truck,37.0,Karnataka,Hubli,Moderate
Snow,Rural Road,Potholes,70,Evening,Car,41.0,Maharashtra,Pune,Severe
Rain,Rural Road,Normal,70,Morning,Bus,20.0,Delhi,North East Delhi,Moderate
Rain,Highway,Potholes,200,Afternoon,Bus,24.0,Uttar Pradesh,Agra,Fatal
Snow,City Street,Potholes,60,Evening,Bus,42.0,Uttar Pradesh,Ayodhya,Moderate
Rain,Highway,Hill Area,120,Morning,Motorcycle,23.0,Karnataka,Bengaluru,Fatal
Snow,City Street,Hill Area,30,Night,Bus,40.0,Haryana,Nuh,Fatal
Snow,Rural Road,Hill Area,45,Morning,Motorcycle,18.0,Haryana,Ambala,Fatal
Clear,Rural Road,Potholes,90,Morning,Truck,45.0,Maharashtra,Nashik,Moderate
Clear,Highway,Hill Area,150,Night,Car,20.0,Maharashtra,Mumbai,Fatal
Clear,City Street,Hill Area,25,Afternoon,Bus,41.0,Delhi,North West Delhi,Moderate
Clear,Rural Road,Hill Area,35,Evening,Car,42.0,Tamil Nadu,Chennai,Severe
Clear,Rural Road,Normal,120,Afternoon,Car,26.0,Uttar Pradesh,Ghaziabad,Moderate
Rain,City Street,Wet,80,Morning,Motorcycle,41.0,Maharashtra,Pune,Fatal
Fog,City Street,Hill Area,80,Evening,Truck,38.0,Delhi,South West Delhi,Fatal
Fog,Highway,Normal,120,Night,Car,28.0,Haryana,Palwal,Fatal
Snow,Rural Road,Potholes,35,Evening,Motorcycle,22.0,Uttar Pradesh,Bhadohi,Fatal
Snow,Rural Road,Potholes,35,Evening,Motorcycle,16.0,Haryana,Panipat,Fatal
Clear,Rural Road,Normal,90,Night,Motorcycle,39.0,Uttar Pradesh,Kasganj,Fatal
Snow,City Street,Potholes,60,Night,Bus,16.0,Haryana,Gurugram,Fatal
Rain,Highway,Hill Area,150,Night,Car,36.0,Maharashtra,Nashik,Fatal
Rain,City Street,Normal,25,Night,Truck,31.0,Maharashtra,Nashik,Moderate
Clear,City Street,Hill Area,30,Afternoon,Bus,43.0,Karnataka,Bengaluru,Severe
Snow,Highway,Potholes,80,Evening,Car,,Delhi,North West Delhi,Fatal
Clear,City Street,Wet,35,Morning,Bus,31.0,Karnataka,Bengaluru,Moderate
Clear,City Street,Hill Area,35,Morning,Motorcycle,43.0,Haryana,Gurugram,Fatal
Clear,Highway,Wet,55,Evening,Motorcycle,39.0,Karnataka,Mangaluru,Fatal
Snow,Rural Road,Potholes,120,Afternoon,Car,38.0,Uttar Pradesh,Jhansi,Fatal
Clear,City Street,Hill Area,80,Morning,Car,40.0,Uttar Pradesh,Shamli,Severe
Fog,Rural Road,Potholes,70,Night,Truck,16.0,Karnataka,Mangaluru,Fatal
Rain,Highway,Potholes,200,Night,Motorcycle,44.0,Uttar Pradesh,Sonbhadra,Fatal
Clear,City Street,Hill Area,45,Morning,Truck,42.0,Haryana,Panchkula,Moderate
Snow,Highway,Normal,120,Morning,Truck,22.0,Haryana,Ambala,Fatal
Fog,Highway,Wet,80,Afternoon,Truck,,Uttar Pradesh,Raebareli,Fatal
Rain,Rural Road,Hill Area,90,Evening,Motorcycle,34.0,Delhi,New Delhi,Fatal
Snow,Highway,Wet,100,Night,Bus,33.0,Karnataka,Mysuru,Fatal
Fog,City Street,Wet,35,Afternoon,Truck,39.0,Uttar Pradesh,Shravasti,Moderate
Clear,Highway,Wet,100,Afternoon,Car,52.0,Tamil Nadu,Chennai,Fatal
Clear,City Street,Wet,35,Afternoon,Truck,47.0,Tamil Nadu,Madurai,Minor
Rain,City Street,Hill Area,80,Morning,Truck,19.0,Tamil Nadu,Chennai,Fatal
Snow,City Street,Normal,30,Evening,Motorcycle,42.0,Uttar Pradesh,Kanpur Nagar,Severe
Clear,City Street,Potholes,30,Night,Car,50.0,Haryana,Rewari,Moderate
Clear,Highway,Hill Area,70,Evening,Truck,39.0,Haryana,Yamunanagar,Severe
Fog,Rural Road,Wet,70,Afternoon,Bus,48.0,Karnataka,Hubli,Moderate
Rain,Highway,Hill Area,200,Morning,Bus,59.0,Karnataka,Mangaluru,Fatal
Fog,Highway,Wet,55,Evening,Car,47.0,Haryana,Mahendragarh,Severe
Snow,Highway,Potholes,200,Afternoon,Motorcycle,37.0,Delhi,Central Delhi,Fatal
Clear,Highway,Hill Area,200,Evening,Car,47.0,Uttar Pradesh,Meerut,Fatal
Rain,City Street,Hill Area,45,Night,Truck,36.0,Maharashtra,Mumbai,Fatal
Clear,Highway,Wet,150,Night,Truck,35.0,Tamil Nadu,Madurai,Fatal
Fog,Rural Road,Normal,90,Evening,Bus,30.0,Maharashtra,Nagpur,Severe
Rain,Highway,Wet,100,Night,Motorcycle,53.0,Tamil Nadu,Chennai,Fatal
Clear,Rural Road,Potholes,45,Evening,Car,25.0,Maharashtra,Pune,Moderate
Fog,City Street,Wet,60,Afternoon,Truck,53.0,Uttar Pradesh,Firozabad,Moderate
Fog,Highway,Wet,220,Morning,Truck,40.0,Uttar Pradesh,Sitapur,Fatal
Clear,City Street,Potholes,25,Evening,Truck,,Maharashtra,Mumbai,Moderate
Rain,Rural Road,Hill Area,90,Night,Truck,39.0,Haryana,Hisar,Fatal
Fog,City Street,Wet,80,Afternoon,Motorcycle,16.0,Karnataka,Hubli,Fatal
Clear,Rural Road,Wet,35,Afternoon,Truck,42.0,Karnataka,Hubli,Minor
Snow,Highway,Hill Area,80,Morning,Bus,45.0,Uttar Pradesh,Baghpat,Fatal
Snow,City Street,Potholes,80,Night,Motorcycle,27.0,Karnataka,Bengaluru,Fatal
Fog,Rural Road,Hill Area,90,Evening,Bus,36.0,Haryana,Yamunanagar,Fatal
Clear,Rural Road,Hill Area,35,Afternoon,Truck,58.0,Karnataka,Bengaluru,Severe
Rain,City Street,Normal,25,Night,Bus,28.0,Haryana,Ambala,Moderate
Snow,City Street,Potholes,45,Night,Bus,22.0,Maharashtra,Nagpur,Severe
Snow,City Street,Potholes,35,Night,Motorcycle,52.0,Delhi,New Delhi,Fatal
Fog,City Street,Normal,35,Morning,Car,58.0,Karnataka,Hubli,Moderate
Rain,City Street,Normal,35,Evening,Car,35.0,Karnataka,Hubli,Minor
Snow,Highway,Wet,65,Afternoon,Motorcycle,47.0,Maharashtra,Nagpur,Fatal
Snow,Highway,Wet,220,Afternoon,Truck,51.0,Tamil Nadu,Salem,Fatal
Clear,Rural Road,Wet,70,Evening,Bus,26.0,Delhi,East Delhi,Minor
Rain,City Street,Wet,30,Morning,Motorcycle,29.0,Maharashtra,Pune,Fatal
Clear,Highway,Normal,55,Evening,Car,49.0,Tamil Nadu,Coimbatore,Moderate
Clear,Highway,Potholes,200,Morning,Bus,55.0,Uttar Pradesh,Azamgarh,Fatal
Fog,Highway,Potholes,65,Evening,Truck,41.0,Tamil Nadu,Madurai,Severe
Snow,City Street,Potholes,45,Morning,Motorcycle,24.0,Maharashtra,Mumbai,Fatal
Snow,City Street,Hill Area,45,Evening,Car,58.0,Tamil Nadu,Madurai,Severe
Snow,Rural Road,Normal,70,Evening,Car,28.0,Haryana,Yamunanagar,Moderate
Rain,Rural Road,Potholes,45,Evening,Truck,30.0,Uttar Pradesh,Amroha,Minor
Snow,Rural Road,Wet,70,Evening,Motorcycle,39.0,Tamil Nadu,Chennai,Fatal
Snow,Highway,Normal,200,Afternoon,Car,53.0,Tamil Nadu,Salem,Fatal
Snow,Rural Road,Hill Area,35,Night,Motorcycle,45.0,Tamil Nadu,Madurai,Fatal
Clear,Rural Road,Hill Area,90,Evening,Truck,39.0,Haryana,Ambala,Severe
Snow,Rural Road,Hill Area,45,Evening,Car,40.0,Tamil Nadu,Salem,Moderate
Rain,Highway,Hill Area,150,Morning,Motorcycle,35.0,Uttar Pradesh,Sitapur,Fatal
Rain,City Street,Hill Area,25,Night,Motorcycle,41.0,Tamil Nadu,Coimbatore,Fatal
Rain,Rural Road,Normal,45,Night,Bus,16.0,Haryana,Rohtak,Moderate
Snow,Highway,Normal,150,Night,Truck,31.0,Maharashtra,Pune,Fatal
Snow,Rural Road,Potholes,45,Night,Car,37.0,Karnataka,Mysuru,Moderate
Fog,Rural Road,Wet,90,Afternoon,Bus,21.0,Delhi,South Delhi,Severe
Rain,Highway,Wet,120,Night,Car,39.0,Delhi,Shahdara,Fatal
Fog,Highway,Potholes,100,Night,Bus,32.0,Tamil Nadu,Madurai,Fatal
Fog,City Street,Hill Area,60,Evening,Motorcycle,56.0,Haryana,Rohtak,Fatal
Clear,City Street,Wet,35,Night,Car,53.0,Maharashtra,Mumbai,Severe
Clear,Rural Road,Potholes,90,Evening,Bus,,Haryana,Mahendragarh,Moderate
Snow,Rural Road,Hill Area,45,Night,Truck,33.0,Tamil Nadu,Chennai,Fatal
Fog,City Street,Normal,80,Afternoon,Truck,34.0,Tamil Nadu,Salem,Moderate
Rain,Highway,Normal,70,Evening,Car,29.0,Tamil Nadu,Chennai,Fatal
Clear,Rural Road,Wet,70,Morning,Bus,37.0,Delhi,Shahdara,Minor
Clear,Highway,Hill Area,220,Afternoon,Truck,25.0,Karnataka,Mysuru,Fatal
Fog,Rural Road,Wet,120,Afternoon,Motorcycle,21.0,Uttar Pradesh,Sant Kabir Nagar,Fatal
Snow,Rural Road,Hill Area,35,Morning,Truck,42.0,Uttar Pradesh,Jhansi,Severe
Fog,City Street,Hill Area,35,Night,Truck,42.0,Haryana,Karnal,Fatal
Clear,City Street,Hill Area,30,Afternoon,Car,25.0,Haryana,Yamunanagar,Moderate
Snow,City Street,Potholes,35,Morning,Motorcycle,45.0,Karnataka,Bengaluru,Fatal
Clear,Rural Road,Hill Area,55,Afternoon,Motorcycle,27.0,Uttar Pradesh,Hapur,Severe
Snow,City Street,Wet,35,Morning,Car,38.0,Maharashtra,Mumbai,Severe
Clear,Rural Road,Normal,35,Afternoon,Truck,44.0,Uttar Pradesh,Kannauj,Minor
Fog,Rural Road,Hill Area,90,Morning,Motorcycle,34.0,Uttar Pradesh,Maharajganj,Fatal
Clear,Rural Road,Hill Area,45,Night,Bus,40.0,Tamil Nadu,Chennai,Fatal
Snow,Rural Road,Potholes,55,Evening,Bus,28.0,Tamil Nadu,Madurai,Moderate
Fog,Rural Road,Potholes,55,Morning,Truck,32.0,Karnataka,Hubli,Moderate
Clear,City Street,Wet,45,Afternoon,Motorcycle,32.0,Karnataka,Mysuru,Moderate
Clear,City Street,Hill Area,60,Evening,Bus,26.0,Uttar Pradesh,Bulandshahr,Moderate
Fog,Highway,Normal,70,Night,Truck,32.0,Uttar Pradesh,Amethi,Fatal
Snow,Rural Road,Potholes,45,Evening,Truck,16.0,Haryana,Jhajjar,Severe
Clear,City Street,Potholes,60,Morning,Motorcycle,29.0,Uttar Pradesh,Gonda,Moderate
Fog,City Street,Normal,45,Night,Truck,31.0,Maharashtra,Nagpur,Severe
Snow,City Street,Wet,35,Morning,Motorcycle,31.0,Uttar Pradesh,Unnao,Fatal
Clear,Rural Road,Hill Area,70,Evening,Car,32.0,Karnataka,Bengaluru,Severe
Snow,Highway,Wet,150,Afternoon,Car,34.0,Tamil Nadu,Chennai,Fatal
Snow,Highway,Wet,150,Evening,Motorcycle,40.0,Uttar Pradesh,Raebareli,Fatal
Snow,Rural Road,Wet,120,Night,Bus,45.0,Maharashtra,Mumbai,Fatal
Rain,Rural Road,Hill Area,45,Evening,Truck,27.0,Haryana,Ambala,Severe
Snow,Rural Road,Normal,45,Night,Truck,20.0,Delhi,South East Delhi,Severe
Fog,City Street,Hill Area,45,Morning,Bus,22.0,Karnataka,Hubli,Severe
Clear,Highway,Potholes,55,Night,Truck,29.0,Maharashtra,Pune,Severe
Rain,Highway,Wet,200,Evening,Car,30.0,Delhi,North Delhi,Fatal
Rain,City Street,Hill Area,45,Evening,Car,25.0,Delhi,South Delhi,Moderate
Snow,Highway,Potholes,100,Evening,Bus,19.0,Delhi,North East Delhi,Fatal
Rain,Highway,Wet,150,Evening,Car,29.0,Karnataka,Mangaluru,Fatal
Fog,City Street,Wet,45,Night,Car,37.0,Delhi,South East Delhi,Severe
Fog,Highway,Hill Area,150,Afternoon,Car,42.0,Tamil Nadu,Madurai,Fatal
Snow,Rural Road,Wet,70,Afternoon,Bus,28.0,Uttar Pradesh,Mirzapur,Severe
Clear,City Street,Normal,25,Morning,Truck,30.0,Tamil Nadu,Madurai,Minor
Snow,City Street,Normal,60,Afternoon,Motorcycle,23.0,Maharashtra,Nagpur,Severe
Fog,Highway,Wet,80,Afternoon,Car,34.0,Maharashtra,Nashik,Fatal
Clear,City Street,Potholes,35,Evening,Bus,24.0,Uttar Pradesh,Bahraich,Minor
Snow,Rural Road,Wet,55,Afternoon,Motorcycle,41.0,Delhi,East Delhi,Fatal
Fog,Rural Road,Potholes,55,Afternoon,Car,16.0,Haryana,Ambala,Moderate
Snow,City Street,Wet,45,Night,Bus,30.0,Uttar Pradesh,Meerut,Severe
Rain,Highway,Potholes,200,Morning,Car,38.0,Delhi,South East Delhi,Fatal
Clear,City Street,Wet,35,Morning,Motorcycle,37.0,Delhi,East Delhi,Moderate
Fog,City Street,Hill Area,60,Afternoon,Car,67.0,Delhi,South Delhi,Severe
Fog,Highway,Normal,70,Night,Motorcycle,39.0,Karnataka,Mangaluru,Fatal
Fog,Highway,Hill Area,80,Morning,Truck,22.0,Karnataka,Mysuru,Fatal
Snow,City Street,Wet,25,Afternoon,Car,33.0,Karnataka,Bengaluru,Severe
Rain,Highway,Wet,55,Night,Motorcycle,16.0,Uttar Pradesh,Kanpur Dehat,Fatal
Rain,Highway,Potholes,55,Morning,Car,34.0,Maharashtra,Pune,Severe
Fog,City Street,Normal,35,Morning,Motorcycle,25.0,Delhi,North East Delhi,Severe
Clear,Highway,Hill Area,70,Night,Truck,45.0,Haryana,Panipat,Fatal
Rain,Highway,Potholes,70,Morning,Car,28.0,Maharashtra,Pune,Severe
Rain,Highway,Potholes,65,Night,Truck,33.0,Uttar Pradesh,Ambedkar Nagar,Fatal
Clear,Highway,Wet,65,Evening,Motorcycle,27.0,Haryana,Jhajjar,Fatal
Rain,Rural Road,Wet,35,Evening,Truck,55.0,Tamil Nadu,Salem,Minor
Rain,Highway,Potholes,120,Evening,Bus,31.0,Uttar Pradesh,Hardoi,Fatal
Rain,City Street,Wet,45,Night,Motorcycle,56.0,Maharashtra,Nashik,Fatal
Rain,City Street,Hill Area,80,Night,Truck,44.0,Maharashtra,Pune,Fatal
Snow,Highway,Hill Area,100,Night,Bus,40.0,Uttar Pradesh,Ghazipur,Fatal
Rain,Rural Road,Hill Area,55,Afternoon,Motorcycle,39.0,Karnataka,Bengaluru,Fatal
Fog,City Street,Potholes,45,Evening,Car,39.0,Maharashtra,Nashik,Moderate
Snow,Highway,Normal,100,Night,Bus,16.0,Maharashtra,Mumbai,Fatal
Snow,Highway,Wet,200,Night,Motorcycle,31.0,Haryana,Kaithal,Fatal
Fog,City Street,Potholes,60,Afternoon,Motorcycle,45.0,Haryana,Rewari,Fatal
Rain,Rural Road,Potholes,120,Afternoon,Truck,34.0,Maharashtra,Pune,Fatal
Fog,Rural Road,Wet,35,Evening,Car,,Maharashtra,Nashik,Moderate
Fog,Rural Road,Hill Area,45,Afternoon,Truck,34.0,Maharashtra,Nagpur,Severe
Fog,Rural Road,Potholes,35,Night,Truck,55.0,Uttar Pradesh,Unnao,Severe
Clear,City Street,Wet,60,Evening,Bus,49.0,Tamil Nadu,Coimbatore,Minor
Fog,Highway,Potholes,220,Afternoon,Car,34.0,Delhi,Shahdara,Fatal
Fog,Highway,Normal,200,Afternoon,Car,46.0,Karnataka,Mysuru,Fatal
Fog,Highway,Hill Area,220,Afternoon,Car,30.0,Delhi,North East Delhi,Fatal
Fog,Rural Road,Normal,90,Afternoon,Bus,16.0,Uttar Pradesh,Hapur,Severe
Clear,Highway,Normal,100,Evening,Bus,23.0,Haryana,Rohtak,Severe
Fog,Highway,Potholes,70,Evening,Truck,53.0,Uttar Pradesh,Varanasi,Fatal
Snow,City Street,Hill Area,45,Afternoon,Truck,31.0,Tamil Nadu,Chennai,Fatal
Snow,Highway,Wet,65,Night,Motorcycle,32.0,Tamil Nadu,Chennai,Fatal
Fog,Rural Road,Hill Area,70,Evening,Bus,31.0,Delhi,South West Delhi,Fatal
Clear,City Street,Wet,25,Afternoon,Motorcycle,57.0,Haryana,Sirsa,Moderate
Clear,City Street,Normal,25,Afternoon,Motorcycle,54.0,Tamil Nadu,Chennai,Severe
Rain,Rural Road,Potholes,45,Morning,Car,61.0,Haryana,Jhajjar,Moderate
Snow,Highway,Hill Area,100,Night,Bus,33.0,Uttar Pradesh,Farrukhabad,Fatal
Snow,Highway,Potholes,200,Morning,Car,38.0,Delhi,Shahdara,Fatal
Clear,Highway,Potholes,100,Morning,Car,16.0,Karnataka,Bengaluru,Fatal
Clear,Highway,Potholes,220,Afternoon,Car,52.0,Haryana,Panipat,Fatal
,Highway,Hill Area,80,Morning,Car,20.0,Tamil Nadu,Chennai,Fatal
Rain,Highway,Wet,70,Evening,Motorcycle,37.0,Maharashtra,Nagpur,Fatal
Rain,City Street,Wet,60,Morning,Bus,21.0,Delhi,South Delhi,Minor
Fog,Rural Road,Normal,55,Afternoon,Bus,27.0,Delhi,East Delhi,Moderate
Clear,Rural Road,Normal,120,Night,Car,24.0,Haryana,Fatehabad,Severe
Snow,Highway,Wet,70,Evening,Bus,27.0,Uttar Pradesh,Agra,Severe
Snow,Highway,Normal,120,Afternoon,Bus,28.0,Uttar Pradesh,Jalaun,Fatal
Fog,Rural Road,Normal,70,Afternoon,Bus,28.0,Karnataka,Mangaluru,Moderate
,City Street,Wet,25,Morning,Truck,45.0,Tamil Nadu,Chennai,Severe
Snow,Rural Road,Normal,45,Night,Car,21.0,Tamil Nadu,Madurai,Moderate
Rain,Highway,Potholes,65,Evening,Car,37.0,Delhi,North Delhi,Severe
Rain,City Street,Normal,45,Night,Bus,49.0,Uttar Pradesh,Deoria,Moderate
,Rural Road,Potholes,45,Evening,Motorcycle,28.0,Haryana,Karnal,Fatal
Snow,Highway,Normal,65,Afternoon,Motorcycle,26.0,Maharashtra,Nashik,Fatal
Snow,Rural Road,Potholes,90,Night,Bus,32.0,Tamil Nadu,Madurai,Fatal
Clear,Highway,Potholes,120,Morning,Motorcycle,49.0,Karnataka,Hubli,Fatal
Rain,City Street,Potholes,80,Evening,Truck,37.0,Haryana,Palwal,Moderate
Fog,Highway,Hill Area,150,Night,Truck,28.0,Uttar Pradesh,Lakhimpur Kheri,Fatal
Clear,City Street,Hill Area,25,Morning,Bus,40.0,Delhi,West Delhi,Moderate
Snow,Rural Road,Potholes,90,Morning,Truck,21.0,Delhi,Shahdara,Severe
Rain,City Street,Normal,80,Night,Car,43.0,Delhi,Central Delhi,Severe
Fog,Rural Road,Normal,90,Evening,Car,39.0,Karnataka,Mysuru,Moderate
Clear,City Street,Hill Area,25,Afternoon,Truck,31.0,Tamil Nadu,Chennai,Severe
Rain,Highway,Wet,220,Afternoon,Truck,24.0,Haryana,Gurugram,Fatal
Snow,Highway,Potholes,80,Night,Motorcycle,24.0,Haryana,Panipat,Fatal
Snow,Highway,Normal,100,Evening,Car,41.0,Delhi,South East Delhi,Fatal
Clear,Highway,Potholes,55,Morning,Car,49.0,Haryana,Kurukshetra,Moderate
Rain,City Street,Hill Area,60,Afternoon,Truck,27.0,Uttar Pradesh,Shamli,Moderate
Clear,City Street,Potholes,60,Morning,Motorcycle,40.0,Karnataka,Bengaluru,Fatal
Rain,Highway,Wet,65,Morning,Car,16.0,Delhi,North East Delhi,Fatal
Snow,Highway,Potholes,65,Morning,Motorcycle,27.0,Haryana,Panipat,Fatal
Snow,City Street,Hill Area,60,Night,Motorcycle,34.0,Uttar Pradesh,Basti,Fatal
Rain,Highway,Wet,200,Morning,Bus,24.0,Haryana,Kurukshetra,Fatal
Rain,City Street,Normal,60,Afternoon,Car,23.0,Haryana,Yamunanagar,Minor
Snow,Highway,Hill Area,120,Morning,Motorcycle,26.0,Maharashtra,Nagpur,Fatal
Snow,Rural Road,Potholes,120,Morning,Motorcycle,38.0,Haryana,Rohtak,Fatal
Fog,Rural Road,Hill Area,90,Morning,Motorcycle,32.0,Maharashtra,Pune,Fatal
Clear,City Street,Normal,45,Morning,Bus,16.0,Maharashtra,Nashik,Minor
Rain,City Street,Potholes,45,Evening,Bus,16.0,Delhi,East Delhi,Moderate
Rain,City Street,Hill Area,35,Morning,Truck,27.0,Karnataka,Bengaluru,Severe
Rain,City Street,Wet,80,Morning,Motorcycle,40.0,Haryana,Panchkula,Fatal
Rain,Rural Road,Hill Area,70,Evening,Motorcycle,16.0,Maharashtra,Nashik,Fatal
Snow,Highway,Potholes,100,Afternoon,Truck,29.0,Uttar Pradesh,Bijnor,Fatal
Rain,City Street,Normal,80,Morning,Motorcycle,28.0,Delhi,South Delhi,Severe
Snow,Highway,Potholes,120,Evening,Truck,51.0,Karnataka,Bengaluru,Fatal
Snow,City Street,Potholes,60,Morning,Bus,30.0,Haryana,Panchkula,Moderate
Clear,Highway,Potholes,80,Afternoon,Motorcycle,39.0,Karnataka,Bengaluru,Fatal
Rain,Rural Road,Wet,45,Evening,Motorcycle,36.0,Maharashtra,Pune,Severe
Snow,Rural Road,Wet,35,Night,Truck,,Delhi,North East Delhi,Severe
Fog,City Street,Wet,45,Morning,Bus,,Haryana,Faridabad,Moderate
Rain,Rural Road,Wet,70,Afternoon,Car,37.0,Maharashtra,Mumbai,Severe
Rain,Highway,Potholes,80,Afternoon,Truck,41.0,Karnataka,Hubli,Fatal
Clear,City Street,Wet,25,Afternoon,Motorcycle,82.0,Delhi,North Delhi,Severe
Rain,Rural Road,Normal,45,Evening,Motorcycle,16.0,Delhi,New Delhi,Fatal
Fog,Highway,Normal,80,Morning,Truck,55.0,Uttar Pradesh,Ghazipur,Fatal
Rain,City Street,Hill Area,80,Morning,Car,31.0,Delhi,Central Delhi,Severe
Rain,Rural Road,Potholes,45,Night,Car,38.0,Karnataka,Mysuru,Moderate
,Rural Road,Potholes,55,Night,Car,34.0,Tamil Nadu,Madurai,Severe
Clear,Rural Road,Hill Area,55,Afternoon,Truck,29.0,Delhi,North East Delhi,Moderate
Rain,Rural Road,Wet,70,Morning,Bus,28.0,Uttar Pradesh,Pilibhit,Moderate
Snow,City Street,Hill Area,30,Evening,Bus,38.0,Uttar Pradesh,Hardoi,Severe
Clear,Rural Road,Normal,90,Evening,Motorcycle,16.0,Haryana,Yamunanagar,Severe
Clear,Rural Road,Hill Area,55,Night,Bus,44.0,Karnataka,Hubli,Severe
Snow,Highway,Hill Area,70,Night,Car,30.0,Haryana,Ambala,Fatal
Snow,City Street,Normal,30,Night,Car,21.0,Uttar Pradesh,Ayodhya,Moderate
Rain,Highway,Normal,200,Night,Bus,29.0,Uttar Pradesh,Sitapur,Fatal
Fog,Rural Road,Hill Area,45,Night,Truck,50.0,Maharashtra,Pune,Fatal
Rain,Rural Road,Hill Area,35,Morning,Motorcycle,28.0,Tamil Nadu,Coimbatore,Fatal
Fog,Rural Road,Potholes,35,Evening,Bus,39.0,Haryana,Panchkula,Moderate
Snow,Highway,Potholes,80,Afternoon,Car,26.0,Delhi,Central Delhi,Fatal
Snow,Highway,Wet,100,Afternoon,Car,44.0,Haryana,Fatehabad,Fatal
Snow,Rural Road,Hill Area,90,Night,Truck,43.0,Haryana,Panchkula,Fatal
Clear,City Street,Wet,35,Night,Bus,57.0,Maharashtra,Mumbai,Severe
Rain,Highway,Normal,150,Morning,Motorcycle,32.0,Uttar Pradesh,Ambedkar Nagar,Fatal
Rain,Rural Road,Hill Area,70,Night,Motorcycle,43.0,Haryana,Nuh,Fatal
Snow,Highway,Wet,120,Night,Truck,36.0,Maharashtra,Nagpur,Fatal
Rain,City Street,Potholes,45,Night,Motorcycle,50.0,Karnataka,Hubli,Fatal
Fog,Rural Road,Potholes,90,Night,Truck,26.0,Haryana,Jind,Fatal
Snow,Highway,Normal,120,Evening,Bus,43.0,Uttar Pradesh,Bhadohi,Fatal
